Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    10063      16475      0          4461       1.64
structure_refs      5100       929        0          112        0.18
biomes              5100       14347      0          1133       2.81
terrain             5099       14955      1          109        2.93
surface             5098       5552       0          74         1.09
air_carvers         5098       78028      3          2811       15.31
fluid_carvers       5098       111        0          2          0.02
decoration          4591       55980      2          507        12.19
mob_spawns          4141       527        0          123        0.13
Sum                                                             36.30
